"","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","condition","group","type"
"29",0.215167421697243,90.9623839765511,1885,43,4.93899204244032,2.14502139829497,0.618922346784173,95.3688324377137,6.22512755102041,4.15517302515021,85.9623919895367,53422,27,3.75238665718243,1.79076576780832,0.556332665576387,89.9822037350715,4.37272594661054,"Synchronous","G1","Original"
"30",2.37264391637621,85.234049075191,26768,15,3.5936939669539,1.65246165606865,0.626156011156982,88.8526595238873,3.7850079343013,4.87020958310492,87.5144515274892,56359,35,4.24418464534999,1.97073418446834,0.579423656886996,94.8917771397259,6.14354406235245,"Synchronous","G5","Original"
"31",0.8021425,75.26994,8871,11,3.237515,1.374452,0.5969168,80.42772,3.53997,3.343133,81.36359,48032,24,3.178215,1.463322,0.4666958,91.16095,3.575508,"TurnTaking","G5","Original"
"32",0.03245906,57.12435,335,9,2.632836,1.062539,0.5460371,70.46632,3.108571,3.8748,85.22947,54387,35,3.4078,1.603709,0.4715131,91.7033,3.942781,"Conversation","G5","Original"
"33",0.03653747,52.58918,374,7,2.44385,0.8814217,0.4919308,68.46951,2.8,3.812506,82.42929,51374,28,3.43304,1.615579,0.4901877,90.10301,4.283416,"TurnTaking","G6","Original"
"34",0.03237497,71.16883,449,7,2.44098,0.8493929,0.5277575,87.53247,4.696864,4.633349,82.49901,62421,34,3.436712,1.635262,0.5080227,88.19179,4.131851,"Conversation","G6","Original"
"35",0.1622953,57.21503,1496,8,2.95254,1.327407,0.682152,98.03109,10.71955,3.218546,82.34513,36627,28,4.060939,1.889276,0.5732311,89.13027,5.320599,"Synchronous","G6","Original"
"36",0.1218897,85.56399,1055,30,4.70237,2.071458,0.6216478,90.87616,6.302632,4.168982,84.07061,55201,26,3.563341,1.705746,0.5299198,94.33218,5.145572,"Conversation","G7","Original"
"37",0.542491,93.02461,3893,200,6.166196,2.336532,0.5779129,96.4503,9.110176,3.74656,79.95606,51935,27,3.237085,1.526418,0.4868191,91.89539,5.113316,"Synchronous","G7","Original"
"38",0.1930515,91.03779,1804,29,4.634146,1.992114,0.6444798,94.90363,6.776827,3.115146,84.09628,43363,41,3.390517,1.582644,0.4350809,96.70417,7.451737,"TurnTaking","G7","Original"
"39",2.283487,95.97036,13808,162,7.549464,2.643338,0.584578,97.59989,11.69347,4.07793,82.56532,56956,35,3.317631,1.540694,0.4674667,93.22599,4.385099,"TurnTaking","G8","Original"
"40",3.315197,93.07275,20854,159,7.038074,2.530845,0.5304993,94.92441,10.53057,3.983243,73.68416,50661,19,3.251377,1.538631,0.5323298,80.22778,3.840468,"Synchronous","G8","Original"
"41",2.878366,97.27353,9518,241,13.99286,2.93759,0.5713306,98.86208,28.05949,3.934545,73.81948,54831,33,2.972826,1.346095,0.4421368,88.25613,3.898166,"Conversation","G8","Original"
"42",0.1173908,86.26433,968,51,4.97624,2.088094,0.6266403,90.0967,5.730068,4.540871,81.39467,60579,21,3.424074,1.634626,0.5551571,95.21584,5.388847,"Synchronous","G9","Original"
"43",0.03624315,82.42459,447,12,3.178971,1.491823,0.678958,86.54292,3.806122,3.889643,75.43852,54096,22,3.044162,1.395156,0.4657145,89.78346,3.901405,"Conversation","G9","Original"
"44",0.03325792,81.16308,398,10,3.226131,1.504082,0.6845372,87.35777,3.926136,3.970004,76.14888,54637,21,3.105258,1.432995,0.4866783,91.71196,4.254628,"TurnTaking","G9","Original"
"45",0.0762937923583692,81.2652068126521,859,10,3.11059371362049,1.44942095544286,0.659659904769521,90.6934306569343,4.91268533772652,3.45975707478529,82.0314041665492,43752,24,3.32544797952094,1.56921480313682,0.500468090537302,93.2512051419389,4.25016060644996,"TurnTaking","G3","Surrogate"
"46",0.16155709350867,84.9430411094601,1517,12,3.39156229400132,1.55298193775917,0.647643771342365,92.025755324418,8.00862068965517,3.4449960300446,72.1885963221404,34380,21,3.26788830715532,1.54770938400339,0.525638124937995,79.8148219540717,3.66828101467679,"Synchronous","G3","Surrogate"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G3","Surrogate"
"48",0.020649537936042,70.5621301775148,169,6,2.82248520710059,1.17135637915774,0.727804639189957,81.6568047337278,3.19075144508671,3.91063672495608,85.0032593274282,38382,25,3.4653743942473,1.64529568630817,0.517705417887158,90.1088998811304,4.08686956521739,"TurnTaking","G4","Surrogate"
"49",0.363610071319493,53.1704200606932,2235,10,2.97897091722595,1.35010527277526,0.614459389677884,98.0274716498962,11.4934456928839,3.59826021022818,82.6933290843425,28568,31,4.35998319798376,2.00919499181242,0.590731664867546,87.3353516039941,5.39352193521935,"Synchronous","G4","Surrogate"
